iter	Logloss
0	0.6879603017
1	0.6825026037
2	0.6773310329
3	0.673234765
4	0.6686971719
5	0.6650321966
6	0.6608279378
7	0.6568331609
8	0.6525992781
9	0.6479092184
10	0.6434333594
11	0.6417547121
12	0.6374829002
13	0.6335732988
14	0.6301253341
15	0.6266043397
16	0.6225061615
17	0.6188816336
18	0.6153460266
19	0.6113737476
20	0.6088895719
21	0.6062542281
22	0.6026435494
23	0.5997023178
24	0.5967292849
25	0.5936670438
26	0.5911801836
27	0.5901240776
28	0.5871198474
29	0.5851519614
30	0.5823084951
31	0.5802022833
32	0.5778674072
33	0.5751187506
34	0.5721897022
35	0.569844963
36	0.5675573821
37	0.5649181798
38	0.5626111092
39	0.5604176252
40	0.5581575531
41	0.5553364361
42	0.5536655263
43	0.5518168315
44	0.5493700166
45	0.5473308532
46	0.5447739126
47	0.5427786378
48	0.5409867192
49	0.539057438
50	0.5367538438
51	0.5347010864
52	0.533060074
53	0.5304530711
54	0.5288787321
55	0.527581612
56	0.5252926252
57	0.5235185099
58	0.5217612642
59	0.5199626538
60	0.5180782492
61	0.5160845503
62	0.5142698407
63	0.5123196143
64	0.5110756009
65	0.5096154884
66	0.5079032408
67	0.5058942573
68	0.5037201429
69	0.502909314
70	0.5014042354
71	0.50029796
72	0.4986781443
73	0.4973380594
74	0.4961637563
75	0.4949399004
76	0.4934041653
77	0.492806373
78	0.4918800677
79	0.4904774967
80	0.4892707671
81	0.487758695
82	0.4862146331
83	0.4848272138
84	0.4835628818
85	0.4818444496
86	0.4798935263
87	0.4788562329
88	0.4786116773
89	0.4770717718
90	0.4760751871
91	0.4751343571
92	0.4739177346
93	0.4725114008
94	0.4717604936
95	0.4704655695
96	0.469309443
97	0.4684149288
98	0.4672311399
99	0.4663566124
100	0.4651636529
101	0.464412756
102	0.4635069609
103	0.4627306518
104	0.4618076537
105	0.4608019766
106	0.4598193606
107	0.4588565283
108	0.4580231971
109	0.4571756529
110	0.4562092529
111	0.4547916565
112	0.4544330755
113	0.4536077816
114	0.4528814475
115	0.4523276661
116	0.451489907
117	0.4505376513
118	0.4500811696
119	0.449034854
120	0.4481237154
121	0.447384817
122	0.4466569654
123	0.445415501
124	0.4447724478
125	0.443975962
126	0.4427835301
127	0.4416443778
128	0.4408278089
129	0.4402401105
130	0.4392433731
131	0.4378221458
132	0.43700359
133	0.436075392
134	0.4350463793
135	0.434433559
136	0.4334509251
137	0.4327984459
138	0.4320250708
139	0.4308871474
140	0.4301552925
141	0.4291919156
142	0.4284742099
143	0.4274469481
144	0.4266009489
145	0.4253370213
146	0.4243669397
147	0.423696893
148	0.4227097998
149	0.4220969532
150	0.4213580073
151	0.4207658834
152	0.4200401168
153	0.4195452476
154	0.4191460726
155	0.4187955263
156	0.4181188332
157	0.4172890268
158	0.4163905082
159	0.4155560549
160	0.4150410902
161	0.414203519
162	0.4135232397
163	0.4126804586
164	0.4118283314
165	0.4109463385
166	0.4099070881
167	0.4094217406
168	0.4087446038
169	0.4078678065
170	0.4071297155
171	0.4063275854
172	0.4057555114
173	0.4050795826
174	0.4046698968
175	0.4039496784
176	0.4031863206
177	0.4023766632
178	0.401802706
179	0.4012733634
180	0.4007492725
181	0.3998353117
182	0.3992633055
183	0.3984894223
184	0.3978679014
185	0.3973067485
186	0.3966487594
187	0.3958984334
188	0.3950720319
189	0.3947133017
190	0.3940650937
191	0.3938699755
192	0.3937670917
193	0.3929693988
194	0.3920886169
195	0.3913858623
196	0.3908192108
197	0.3905555485
198	0.3895748462
199	0.3888513563
