iter	Passed	Remaining
0	5	1576
1	9	1459
2	15	1520
3	20	1532
4	23	1395
5	25	1247
6	28	1176
7	29	1081
8	32	1050
9	36	1059
10	40	1055
11	43	1050
12	45	1009
13	47	967
14	49	932
15	50	902
16	52	873
17	54	851
18	56	828
19	57	811
20	60	801
21	64	809
22	68	828
23	70	814
24	72	797
25	74	781
26	76	772
27	78	759
28	79	745
29	81	732
30	83	722
31	84	710
32	86	701
33	88	689
34	89	679
35	91	673
36	93	666
37	95	657
38	96	648
39	98	642
40	100	634
41	101	626
42	103	619
43	105	612
44	106	606
45	109	603
46	110	597
47	112	592
48	114	585
49	116	580
50	118	577
51	119	571
52	121	566
53	123	562
54	125	559
55	127	554
56	128	548
57	130	543
58	131	538
59	133	533
60	135	529
61	136	524
62	138	520
63	140	516
64	142	514
65	143	510
66	145	505
67	147	501
68	148	498
69	150	494
70	152	490
71	153	487
72	155	484
73	157	481
74	159	478
75	161	475
76	162	471
77	164	468
78	166	464
79	167	461
80	169	458
81	171	455
82	173	452
83	174	449
84	177	448
85	178	445
86	180	442
87	182	440
88	184	437
89	186	434
90	188	433
91	190	429
92	191	426
93	193	423
94	195	420
95	196	418
96	198	415
97	199	412
98	201	409
99	203	407
100	205	404
101	207	402
102	208	399
103	210	396
104	212	394
105	213	391
106	215	389
107	217	386
108	219	383
109	220	381
110	222	378
111	223	375
112	225	373
113	227	370
114	228	367
115	230	365
116	232	362
117	233	360
118	235	358
119	236	355
120	238	352
121	240	350
122	241	347
123	243	345
124	244	342
125	246	340
126	248	338
127	249	335
128	251	333
129	253	331
130	255	329
131	256	327
132	258	324
133	260	322
134	261	320
135	263	317
136	265	315
137	267	313
138	269	311
139	270	309
140	272	307
141	273	304
142	275	302
143	277	300
144	278	297
145	280	295
146	282	293
147	284	291
148	286	289
149	287	287
150	289	285
151	291	283
152	292	281
153	294	279
154	295	276
155	297	274
156	299	272
157	301	270
158	302	268
159	304	266
160	305	264
161	307	262
162	309	259
163	310	257
164	312	255
165	315	254
166	317	252
167	318	250
168	320	248
169	322	246
170	324	244
171	326	243
172	328	241
173	330	239
174	332	237
175	334	235
176	335	233
177	337	231
178	339	229
179	340	227
180	342	225
181	343	222
182	345	220
183	347	219
184	349	217
185	350	215
186	352	212
187	354	210
188	355	208
189	358	207
190	359	205
191	361	203
192	363	201
193	366	200
194	367	197
195	369	195
196	370	193
197	372	191
198	374	189
199	375	187
200	377	185
201	379	184
202	381	182
203	383	180
204	385	178
205	387	176
206	388	174
207	390	172
208	391	170
209	393	168
210	395	166
211	397	164
212	398	162
213	400	160
214	402	159
215	403	157
216	405	155
217	407	153
218	408	151
219	410	149
220	412	147
221	414	145
222	415	143
223	417	141
224	419	139
225	420	137
226	422	135
227	423	133
228	425	132
229	427	130
230	429	128
231	430	126
232	432	124
233	433	122
234	435	120
235	437	118
236	438	116
237	440	114
238	442	112
239	444	111
240	445	109
241	447	107
242	448	105
243	450	103
244	452	101
245	454	99
246	455	97
247	458	96
248	460	94
249	462	92
250	464	90
251	465	88
252	467	86
253	469	84
254	471	83
255	472	81
256	474	79
257	476	77
258	478	75
259	479	73
260	481	71
261	483	70
262	484	68
263	486	66
264	487	64
265	489	62
266	491	60
267	493	58
268	494	57
269	496	55
270	498	53
271	499	51
272	501	49
273	502	47
274	504	45
275	506	44
276	508	42
277	509	40
278	511	38
279	513	36
280	515	34
281	516	32
282	518	31
283	519	29
284	521	27
285	523	25
286	524	23
287	526	21
288	527	20
289	529	18
290	531	16
291	532	14
292	534	12
293	535	10
294	537	9
295	539	7
296	540	5
297	542	3
298	544	1
299	545	0
